trade_date,predicted_pct_change,predicted_label,predicted_close,confidence,real_pct_change,correct,calibrated_confidence,confidence_calibration_window,confidence_calibration_method,confidence_calibration_rows,confidence_calibration_fallback,uncalibrated_predicted_return,return_calibration_scale,return_calibration_rows,return_calibration_close_fallback
20250821,0.0004418334926096192,1,3772.7650977979629,0.6166666666666667,0.014494528372088089,True,0.54393997216737433,300,platt,300,0,0.0032086294680596645,0.1377016252602101,252,0
20250822,0.00084297945007681598,1,3828.9842363865423,0.6166666666666667,0.015108765862734019,True,0.54729973357677786,300,platt,300,0,0.0056643593074928557,0.14882167678906186,252,0
20250825,-0.00067621188508513682,0,3880.9355894219989,0.625,-0.0039087057635778244,True,0.54626528477745862,300,platt,300,0,-0.0045437727868339493,0.14882167678906186,252,0
20250826,-0.00044841558302179655,0,3866.6473572301193,0.625,-0.017586706793693008,True,0.54631609850723684,300,platt,300,0,-0.0030131066434453341,0.14882167678906186,252,0
20250827,0.0014519748009261687,1,3805.8679122895019,0.625,0.011379873205885627,True,0.54625095644395605,300,platt,300,0,0.00925966099936067,0.1568064749915164,252,0
20250828,0.0013853568124823944,1,3848.92215384253,0.625,0.0037282780969722928,True,0.54626493944694909,300,platt,300,0,0.0088348189228623728,0.1568064749915164,252,0
20250829,0.00048837359384740621,1,3859.8115098691405,0.625,0.0045628126646448663,True,0.54627894833559676,300,platt,300,0,0.0029750639293178427,0.16415566369338025,252,0
20250901,0.00049628849568396772,1,3877.4537811521941,0.625,-0.0044889339534015527,False,0.54628596313210986,300,platt,300,0,0.0026430594185408774,0.18777046486451973,252,0
20250902,-0.0011121892292943782,0,3853.8424255873392,0.6166666666666667,-0.011553981000242297,True,0.54723236440852729,300,platt,300,0,-0.0059231318945545865,0.18777046486451973,252,0
20250903,0.0015065956480963128,1,3819.3020877773292,0.625,-0.0125029480354375,False,0.54628450267874307,300,platt,300,0,0.0077769477156159044,0.19372582961707571,252,0
20250904,0.0013272425171364048,1,3770.8741306087395,0.625,0.012384476078991291,True,0.54628450267874307,300,platt,300,0,0.0080852678931353089,0.16415566369338025,252,0
20250905,0.0012769737443320312,1,3817.3827806609906,0.625,0.0037577301677269581,True,0.54629146619767588,300,platt,300,0,0.0077790416462098985,0.16415566369338025,252,0
