trade_date,source_rows,excluded_exchange_rows,all_active_rows,all_up_fraction,all_down_fraction,all_median_return,all_mean_return,all_down_amount_fraction,all_large_down_fraction,shanghai_active_rows,shanghai_up_fraction,shanghai_down_fraction,shanghai_median_return,shanghai_mean_return,shanghai_down_amount_fraction,shanghai_large_down_fraction
20210928,4603,129,4474,0.5525257040679481,0.42042914617791688,0.0023535000000000001,0.0039348871256146625,0.45525599278853157,0.151318730442557,1978,0.5556117290192113,0.42315470171890801,0.0024419999999999997,0.0044523827098078865,0.40413782245604063,0.15166835187057634
20210929,4611,132,4479,0.10605045769144898,0.88635856217905784,-0.028062999999999998,-0.028241242911364144,0.7890903692285326,0.65684304532261661,1978,0.11122345803842265,0.87967644084934282,-0.025792499999999999,-0.027638259858442867,0.78589449232171282,0.61223458038422651
20210930,4617,136,4481,0.84177638919883957,0.13925463066279847,0.015765999999999999,0.021572854943093061,0.19587627998272658,0.024548091943762552,1978,0.80080889787664311,0.17290192113245703,0.013772,0.019356043478260868,0.26224331601565182,0.028311425682507583
20211008,4616,133,4483,0.7660049074280616,0.22462636627258531,0.016393000000000001,0.01475225050189605,0.42863465941366574,0.1126477805041267,1978,0.73205257836198179,0.25379170879676438,0.014047500000000001,0.011915910515672395,0.46071260863054508,0.12386248736097068
20211011,4620,136,4484,0.45405887600356826,0.50735950044603029,-0.00097400000000000004,-0.0015304502676181976,0.51965324847543759,0.18666369313113293,1977,0.46181082448153771,0.49822964087000504,0,-0.0013042387455741021,0.50435219506542983,0.18816388467374812
20211012,4614,127,4487,0.1753955872520615,0.80900378872297751,-0.016729000000000001,-0.015895818587029192,0.72739334726443683,0.42099398261644749,1977,0.17096611026808295,0.81335356600910469,-0.016129000000000001,-0.015828891249367733,0.72827610914580165,0.4076884167931209
20211013,4611,123,4488,0.57308377896613194,0.39327094474153296,0.0034234999999999999,0.0038040697415329771,0.36349410873850257,0.13302139037433156,1978,0.56016177957532864,0.40394337714863499,0.0027235000000000002,0.0028358549039433777,0.41354561987644195,0.14155712841253792
20211014,4613,124,4489,0.52951659612385837,0.42503898418355979,0.0015629999999999999,0.006572512586322121,0.40790946713135545,0.095121407885943421,1978,0.51820020222446916,0.43174924165824063,0.0012275000000000001,0.0050535778564206272,0.45863305974421625,0.084934277047522752
20211015,4618,127,4491,0.28835448675128034,0.69182810064573597,-0.0096020000000000012,-0.0068170175907370295,0.44943359375347741,0.26029837452683147,1979,0.30520464881253156,0.67003537139969682,-0.0077720000000000003,-0.0030330192016169784,0.40233348263655189,0.18443658413340069
20211018,4632,136,4496,0.60653914590747326,0.36988434163701067,0.0050740000000000004,0.0075974152580071171,0.33324437364603243,0.11854982206405694,1982,0.59132189707366301,0.38345105953582242,0.0041460000000000004,0.0067714364278506564,0.34087292636398936,0.11856710393541876
20211019,4630,132,4498,0.50955980435749226,0.44864384170742549,0.00074750000000000001,0.0058466329479768785,0.33295700318705967,0.081591818586038242,1983,0.52344931921331317,0.43721633888048411,0.001155,0.0066988860312657593,0.34693928625502141,0.065052950075642962
20211020,4625,125,4500,0.35555555555555557,0.61822222222222223,-0.0054735000000000001,-0.0015628899999999999,0.43029328611051171,0.15644444444444444,1985,0.35869017632241812,0.61309823677581865,-0.0048939999999999999,-0.0017184871536523932,0.45329548521959628,0.14911838790931989
20211021,4627,123,4504,0.2975133214920071,0.67451154529307278,-0.0081460000000000005,-0.0048538281527531089,0.49056671092352011,0.22535523978685612,1986,0.31570996978851962,0.65659617321248742,-0.0069415000000000006,-0.0042141037260825772,0.46429799019481593,0.19889224572004027
20211022,4634,129,4505,0.30344062153163154,0.66304106548279684,-0.0087980000000000003,-0.0084920506104328511,0.56769066265528922,0.29611542730299667,1988,0.29124748490945673,0.67404426559356134,-0.0084764999999999997,-0.0091975472837022131,0.5837828930646074,0.28822937625754524
20211025,4630,125,4505,0.55849056603773584,0.41265260821309657,0.002918,0.0070490153163152054,0.28429469713267425,0.11254162042175361,1989,0.56259426847662142,0.40774258421317244,0.0032049999999999999,0.0075757878330819503,0.27562554074970697,0.10005027652086476
20211026,4629,121,4508,0.35492457852706299,0.61779059449866902,-0.0063249999999999999,-0.0037350803016858924,0.50836695020507594,0.20031055900621117,1991,0.33751883475640382,0.63335007533902565,-0.0060729999999999994,-0.004287530889000502,0.51015758392433097,0.17780010045203415
20211027,4638,124,4514,0.19982277359326539,0.7842268498006203,-0.0201865,-0.016524056933983164,0.57706790751914283,0.50575985821887459,1996,0.19338677354709419,0.79058116232464926,-0.0191985,-0.015348750000000001,0.58744470916515235,0.4819639278557114
20211028,4637,117,4520,0.22853982300884956,0.7530973451327434,-0.0176785,-0.018171904203539826,0.69411312208042508,0.4652654867256637,1998,0.22822822822822822,0.75275275275275277,-0.017142999999999999,-0.017896302302302301,0.6849568990988828,0.45395395395395394
