trade_date,raw_rows,active_rows,matched_rows,stock_coverage,amount_coverage,large_net_ratio,small_net_ratio,large_selling_fraction,large_selling_amount_fraction,large_net_median,large_small_divergence,shanghai_relative,up_sell_amount_fraction,down_buy_amount_fraction,high_turnover_large_ratio,other_turnover_large_ratio
20260211,5179,5178,5178,1,1,-0.010924274155795105,0.0099044003390041657,0.60699111626110469,0.64012878238943749,-0.0079323825334352109,0.5177674777906528,0.0086084830950427446,0.18915048190369543,0.11158290503691433,-0.012630340879287322,-0.0085979468723550861
20260212,5183,5182,5182,1,1,-0.00027580393606067643,0.0038499664764568165,0.57255885758394442,0.51543320195544517,-0.0057294969069714829,0.48147433423388653,0.00010541801275716474,0.22911259670611031,0.10685808991647784,0.0041193867116452775,-0.0063263653044551499
20260213,5181,5180,5180,1,1,-0.0086767817119427423,0.0069675740651901682,0.57857142857142863,0.59044412325309226,-0.0054914888665878797,0.4611969111969112,0.01045610752246973,0.1250891272042246,0.20447286160706757,-0.009872001078001574,-0.0070585499034168837
20260224,5181,5180,5180,1,1,-0.002392189694060892,0.0036285090713092283,0.59440154440154436,0.53749319218911096,-0.0062387252706606541,0.50250965250965252,0.0011392507126217009,0.29650080940030971,0.081740577169731446,-0.00038620609267117802,-0.0049913996957717454
20260225,5178,5177,5177,1,1,-0.0023490473861231508,0.0040147115726261702,0.58701950936836,0.55107985359855349,-0.0063467016201757803,0.48734788487541048,-0.0014890577223239049,0.32376198966391201,0.061760019749425792,-0.0010388982293347479,-0.0040729428097933092
20260226,5177,5176,5176,1,1,-0.0059184756981828391,0.0041889571614151496,0.59814528593508498,0.57327089316188418,-0.0070649876544952479,0.47797527047913446,0.0055532297596822735,0.25889102976057549,0.092402669346927147,-0.0053261662821739251,-0.0067129968760315135
20260227,5177,5176,5176,1,1,-0.0049330287306035879,0.0046400208066328264,0.5873261205564142,0.57335454999281987,-0.0059639727495163037,0.49536321483771251,0.0024796004438521059,0.29514303684730725,0.074371830154089436,-0.00494004389834099,-0.0049234009798486637
20260302,5176,5175,5175,1,1,-0.011337238967019799,0.0087851423664478227,0.64618357487922706,0.64126193632119899,-0.01086885036631406,0.50685990338164255,0.005473404655676509,0.20945365337711988,0.11300756157262629,-0.0099889633645739682,-0.01302166486356522
20260303,5178,5177,5177,1,1,-0.020843983943539895,0.015395682207362732,0.71122271585860541,0.74764219403098076,-0.015686610006564052,0.57697508209387671,0.015282427433457021,0.10768660324167208,0.14908865746934036,-0.021713672585419844,-0.019771311099603148
20260304,5179,5178,5178,1,1,-0.010560112337290373,0.0088666693192992092,0.65237543453070679,0.67488569298182643,-0.010231388558263027,0.53650057937427575,0.0043198577011401753,0.24945829172989459,0.12334832713090685,-0.0096270620976598321,-0.011764413656689017
20260305,5180,5179,5179,1,1,0.0017114719987706491,0.00012076901883161419,0.54605136126665377,0.49953585692985814,-0.0026911801579255737,0.43019888009268198,0.0007069256106099933,0.27658161839017165,0.11446084438566133,0.0037603379713869612,-0.0010711322414728448
20260306,5181,5180,5180,1,1,-0.0010459855666289759,0.0046619797592086457,0.6102316602316602,0.553129862105046,-0.0073258929716406643,0.55077220077220079,-0.002634414692058871,0.25885782929892459,0.083412049618926995,-0.00010672598362601214,-0.002222241746549487
