trade_date,contract_rows,P_contract_rows,P_volume,P_amount,P_interest,C_contract_rows,C_volume,C_amount,C_interest,near_put_interest_share,far_put_interest_share,near_interest_share,put_interest_term_spread,matched_put_interest_growth,matched_call_interest_growth,matched_interest_imbalance,matched_contract_rows,matched_prior_interest_coverage
20251201,98,49,304140,10745.3969,590411,49,292413,15118.706199999999,571292,0.51023146520456253,0.50138261818818064,0.77368828349414609,0.0088488470163818889,0.039477946717184166,-0.0098891157335034095,0.024567112610983891,98,1
20251202,98,49,224151,8041.1204000000007,598040,49,207101,9208.6751000000004,601893,0.49861163153870647,0.49766947390497818,0.76953129883085136,0.00094215763372829109,0.012921507221240797,0.053564551927910771,-0.019774417385510754,98,1
20251203,98,49,306120,10882.218499999999,615439,49,245388,10545.755499999997,635672,0.49140935980886624,0.4935334966220763,0.76243195048241119,-0.0021241368132100535,0.029093371680824025,0.056121270724198487,-0.013650762167554354,98,1
20251204,98,49,246539,9040.4758000000002,628064,49,265098,10909.449699999999,643614,0.49421111923220284,0.49288275667060821,0.75527138159188101,0.0013283625615946315,0.020513812091856383,0.012493864760442492,0.0037430731565784329,98,1
20251205,98,49,405412,14576.6441,660303,49,485776,21329.268900000003,619346,0.52339183749094642,0.49471864622662964,0.74231605698125036,0.028673191264316777,0.051330756101289038,-0.037705829891829572,0.044434990618694353,98,1
20251208,98,49,413444,13597.025699999998,667988,49,525600,25931.507299999997,620387,0.53107426239386346,0.48606236033248496,0.72005200349277187,0.045011902061378506,0.011638596220220111,0.0016808052364913958,0.0051920487571201169,98,1
20251209,100,50,254428,9262.193299999999,669837,50,320986,13289.590099999999,666866,0.50579222740319829,0.48995215311004786,0.70448932934241937,0.01584007429315043,0.0026317838044994822,0.071798732081748973,-0.033208499078296302,98,1
20251210,100,50,352234,13377.198199999999,661499,50,413662,15822.659799999999,693101,0.48976751461213597,0.48509036907032083,0.69378488114572567,0.004677145541815142,-0.01244780446586259,0.039340737119601239,-0.025864384234942243,100,1
20251211,100,50,373147,11023.446800000002,660995,50,346484,13324.7983,713794,0.47702564822362703,0.48858458685165534,0.67369247208117022,-0.011558938628028315,-0.00076190591368996776,0.029855677599657193,-0.015648161818987157,100,1
20251212,100,50,454347,14363.5574,665016,50,418870,18121.836899999998,690587,0.49183710747873066,0.4880347020172095,0.66634184196995727,0.0038024054615211633,0.0060832532772562573,-0.032512181385665889,0.019805221019370971,100,1
20251215,100,50,444890,13353.066499999999,666792,50,407275,17990.199400000001,667105,0.50660446527075875,0.48749411205531362,0.64826444620536672,0.019110353215445131,0.0026706124363925078,-0.034002956904778107,0.018632298689218008,100,1
20251216,100,50,747093,25103.313000000002,635678,50,559030,19492.630999999998,730377,0.46290381129490987,0.46936416858642405,0.62313230433620903,-0.0064603572915141738,-0.046662227501229767,0.094845638992362521,-0.070759586384855799,100,1
20251217,172,86,641859,22797.127773999997,655364,86,727875,29427.086911000006,668046,0.51030037327915945,0.47484952670357428,0.57428990260010127,0.035450846575585171,-0.071523633034334996,-0.18004948129527629,0.062982822799960467,100,1
